merchantID,hour,weekday,driverID,time_variance,row_count,trip_ids,times,date
1470,15,True,846,,1,['7229b43eaf953099ba901245c16e04c1882090be860ac4af6ef915cf0f61098a'],[1845.0],[30]
1470,15,True,1265,,1,['4c01ad29ba485669d30e1eeba32afa2e6e4530ccedca073e248f5cdb9072d158'],[1138.0],[29]
1470,15,True,1344,,1,['3976bfdf04a688f52194650e97a03d3ae5067174808d6056457d095d980b86d2'],[326.0],[30]
1470,15,True,2074,,1,['b9816e63e4124f86c8ca93aeb4a7585c558e74e9eaf43b712508de52389a3197'],[375.0],[30]
1470,15,True,2996,,1,['02bdc67918d70d550c5f1c814d5373ddbd791a8a17d946a2c6a875a1471a7d7e'],[616.0],[30]
1470,15,True,3432,,1,['ba285b065d29340e60c2e62133f39bf5bd29ea565de8cd47ce2bb367df5f5608'],[147.0],[30]
1470,15,True,3498,,1,['053a65667362bca7054b37721dab68259ca9ed51a7694fac7ec52415362819d7'],[857.0],[30]
1470,16,False,256,,1,['b1ac1346960ac3dbf8fab0ecae02fdf4e2fabf304dd5847740f606f1757c06dc'],[402.0],[25]
1470,16,False,431,,1,['b4ce56284322df26de24bdfc036e8ebf6fc3c36d2e3e2291363c9187ca5413d1'],[552.0],[25]
1470,16,False,2702,,1,['314416bd54727d4f28429d1d0b9ca5aa15a35cb47a5fd4191a2608c888f2a06a'],[743.0],[24]
1470,16,True,287,,1,['703b2f3a6ae67b13241200acebc9d41799b89d5aa0806cfd6f1d47bad93f2ac6'],[269.0],[27]
1470,16,True,534,,1,['2df398490502c8ba781a085b4e293ba64cdae3dd7dccf3fe0bfc09722ae48b37'],[767.0],[27]
1470,16,True,926,,1,['f38e1c49f8bf5c264ec1df6013dcb53bfacb0ddc650e744905c7c3fa70af47a9'],[445.0],[27]
1470,16,True,1386,,1,['7d14cb07c9b86fde66d94df3b39f6a678cd7be75ce11dabef01e84ab3de7c275'],[1334.0],[29]
1470,16,True,2253,,1,['5894f452c692c4214c2dbe6a4e2ebcbde853a6416597f3aa285ad38e7b0ed8c4'],[1527.0],[29]
1470,16,True,2516,,1,['ec6454436292cd305497af9c5696838ee99fa13d05eecca877db0cd8c7369b5c'],[635.0],[30]
1470,17,False,81,,1,['f6963036988f64ec017ba48f6932c37c45c1d189487cc5d191b00c837962a058'],[714.0],[25]
1470,17,False,736,,1,['1cb1cf7b4ea802e106e68ce9c1751cc00391687a10e4293e4fc712c9da5904c1'],[1176.0],[26]
